Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea
2,t,771000.0,13.8,2.0,1.0,1.0,0.0,99.0,1992.0,Bayside
3,t,700000.0,7.9,3.0,2.0,1.0,189.0,110.0,1990.0,Banyule
3,u,975000.0,12.1,3.0,2.0,1.0,277.0,109.0,1975.0,Glen Eira
3,h,1290000.0,8.0,3.0,1.0,1.0,618.0,132.0,1960.0,Moonee Valley
2,u,500000.0,4.2,2.0,1.0,1.0,0.0,86.0,2000.0,Melbourne
3,t,797500.0,5.9,3.0,2.0,2.0,262.0,155.0,2010.0,Moreland
3,h,1355000.0,13.9,3.0,1.0,1.0,814.0,120.0,1965.0,Manningham
2,t,707500.0,5.6,2.0,1.0,1.0,124.0,86.0,1992.0,Boroondara
2,u,444000.0,7.5,2.0,1.0,1.0,0.0,68.0,1970.0,Boroondara
3,h,878000.0,8.2,3.0,1.0,1.0,397.0,127.0,1960.0,Maribyrnong
2,t,490000.0,11.2,2.0,1.0,1.0,91.0,84.0,2014.0,Darebin
3,t,745000.0,11.7,3.0,1.0,2.0,228.0,126.0,1998.0,Whitehorse
3,t,1388000.0,3.5,3.0,2.0,2.0,104.0,146.0,2015.0,Port Phillip
4,t,1105000.0,14.6,3.0,2.0,2.0,220.0,187.0,2015.0,Kingston
1,u,367000.0,3.3,1.0,1.0,0.0,0.0,42.0,1950.0,Stonnington
4,h,2620000.0,13.0,4.0,4.0,2.0,579.0,361.0,2012.0,Glen Eira
4,h,950000.0,10.5,4.0,3.0,3.0,761.0,281.0,1970.0,Moonee Valley
2,u,660000.0,1.2,2.0,1.0,1.0,0.0,77.0,2000.0,Melbourne
4,h,3100000.0,7.5,3.0,2.0,2.0,640.0,232.0,1907.0,Boroondara
1,u,390000.0,2.6,1.0,1.0,1.0,0.0,40.0,2011.0,Yarra
2,h,1030000.0,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra
3,u,2460000.0,3.8,3.0,2.0,2.0,5042.0,102.0,1995.0,Port Phillip
3,h,827000.0,11.2,3.0,1.0,2.0,676.0,113.0,1960.0,Moreland
2,h,472500.0,14.5,2.0,1.0,2.0,729.0,88.0,1960.0,Hume
5,h,1075000.0,5.2,5.0,1.0,1.0,441.0,202.0,1940.0,Moreland
7,h,1642000.0,10.4,7.0,4.0,2.0,765.0,146.0,1950.0,Whitehorse
2,u,485000.0,8.8,2.0,1.0,1.0,117.0,73.0,1965.0,Darebin
4,t,1170000.0,21.5,4.0,2.0,2.0,312.0,179.0,2004.0,Kingston
2,t,805000.0,5.8,2.0,1.0,1.0,140.0,2.0,2008.0,Darebin
2,t,785000.0,7.9,2.0,2.0,1.0,124.0,135.0,2010.0,Banyule
3,h,1455000.0,4.2,3.0,1.0,0.0,275.0,120.0,1900.0,Melbourne
2,u,905000.0,10.7,2.0,1.0,2.0,189.0,93.0,1980.0,Bayside
3,h,565000.0,14.0,3.0,1.0,2.0,614.0,110.0,1975.0,Brimbank
3,t,1627000.0,21.5,3.0,2.0,2.0,304.0,233.0,2007.0,Kingston
3,t,865000.0,5.5,3.0,1.0,2.0,184.0,108.0,2006.0,Darebin
3,h,1370000.0,7.8,3.0,1.0,1.0,233.0,180.0,1890.0,Moreland
2,u,437500.0,11.8,2.0,1.0,1.0,0.0,74.0,1970.0,Glen Eira
2,u,491000.0,5.2,2.0,1.0,1.0,1080.0,66.0,1960.0,Moreland
2,u,692000.0,10.7,2.0,1.0,1.0,74.0,66.0,1960.0,Bayside
4,h,1350000.0,5.2,4.0,1.0,1.0,370.0,151.0,1940.0,Moreland
4,h,1462500.0,13.9,4.0,3.0,2.0,654.0,160.0,1969.0,Manningham
2,u,425000.0,4.2,2.0,1.0,1.0,0.0,59.0,2006.0,Melbourne
3,h,1037000.0,4.2,3.0,1.0,1.0,188.0,106.0,1910.0,Melbourne
2,u,566000.0,8.7,2.0,2.0,1.0,3014.0,80.0,2012.0,Maribyrnong
3,h,2825000.0,9.2,4.0,2.0,4.0,885.0,217.0,1910.0,Stonnington
4,t,2221000.0,15.2,4.0,2.0,2.0,381.0,235.0,2000.0,Bayside
2,u,900000.0,7.8,2.0,1.0,1.0,150.0,88.0,1970.0,Boroondara
4,t,1680000.0,7.9,4.0,2.0,1.0,254.0,172.0,1995.0,Boroondara
3,t,690000.0,5.6,3.0,1.0,2.0,111.0,3.0,1872.0,Boroondara
2,u,650000.0,9.7,2.0,1.0,1.0,0.0,150.0,1960.0,Boroondara
2,t,880000.0,1.6,2.0,2.0,2.0,0.0,105.0,2000.0,Yarra
3,h,1101000.0,13.8,3.0,2.0,2.0,643.0,135.0,1965.0,Manningham
2,u,465000.0,11.4,2.0,1.0,1.0,0.0,56.0,1970.0,Glen Eira
3,t,825000.0,13.0,3.0,2.0,2.0,147.0,149.0,2007.0,Glen Eira
2,u,799000.0,1.8,2.0,1.0,1.0,0.0,73.0,1900.0,Melbourne
